S no,Movie,Rating,No. of votes,Mean,Median,Males,M Rating,Females,F Rating,<18,18-29,30-44,45+
86,Wolfwalkers,8,"31,121",8.1,8,"16,722",7.9,"3,350",8,8.6,8.2,7.9,7.8
87,The Kissing Booth 2,5.7,"31,021",5.9,6,"7,058",5.4,"8,438",6.1,4.1,5.7,5.8,5.9
88,The Call,7.1,"30,823",7.3,7,"13,972",7,"3,961",7.2,7.1,7.2,7,6.9
89,All the Bright Places,6.5,"30,533",6.7,7,"9,737",6.4,"6,720",6.5,6.5,6.5,6.4,6.6
90,Gretel & Hansel,5.4,"30,525",5.4,6,"16,572",5.4,"3,927",5.4,5.8,5.5,5.5,5.4
91,Cuties,3.4,"30,495",2.7,1,"12,692",3.7,"3,262",4.2,1.9,2.9,4,4.4
92,The Rental,5.7,"30,400",5.6,6,"16,551",5.7,"4,259",5.6,6.1,5.7,5.7,5.6
93,After We Collided,5,"30,382",6.1,6,"4,769",4.5,"6,770",5.4,4.2,4.9,4.9,4.9
94,My Spy,6.3,"30,264",6.5,7,"16,423",6.2,"3,815",6.6,6.6,6.2,6.2,6.5
95,The Christmas Chronicles: Part Two,6,"29,511",6.2,6,"13,657",5.8,"4,923",6.4,6,5.9,5.9,6.1
96,Tanhaji: The Unsung Warrior,7.5,"29,443",8.3,10,"12,375",7.2,558,6.5,7.9,7.6,7,6
97,Host,6.5,"28,472",6.6,7,"15,307",6.5,"3,439",6.6,6.3,6.6,6.5,6.4
98,Thappad,7.1,"28,243",7.4,9,"8,934",6.8,"1,843",8.1,7,7.3,6.8,6.8
99,Artemis Fowl,4.2,"27,859",4.4,4,"14,875",4.2,"3,312",4.9,3.4,3.6,4.2,4.9
100,The Banker,7.3,"27,609",7.4,7,"16,290",7.2,"2,376",7.5,7.8,7.3,7.2,7.2
